"initial_alias","converted_alias","name","description","namespace"
"RXRAGA","None","None","None",""
"ANGPTL2","23452","ANGPTL2","angiopoietin like 2 [Source:HGNC Symbol;Acc:HGNC:490]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:CYWOVCHWDKA1GCXL23E6AR0/CC4","None","None","None",""
"GSTM2","2946","GSTM2","glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NEB","4703","NEB","nebulin [Source:HGNC Symbol;Acc:HGNC:7720]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAB21","23011","RAB21","RAB21, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TAS2R7","50837","TAS2R7","taste 2 receptor member 7 [Source:HGNC Symbol;Acc:HGNC:14913]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"INTS8","55656","INTS8","integrator complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:26048]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MBOAT2","129642","MBOAT2","membrane bound O-acyltransferase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25193]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPFIA3","8541","PPFIA3","PTPRF interacting protein alpha 3 [Source:HGNC Symbol;Acc:HGNC:9247]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TOPORS","10210","TOPORS","TOP1 binding arginine/serine rich protein, E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:21653]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ROGID:5U/IJZZPQ3FQ1TFO5HT9513LCJK32630","None","None","None",""
"FBXO22","26263","FBXO22","F-box protein 22 [Source:HGNC Symbol;Acc:HGNC:13593]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYP2C19*1,","None","None","None",""
"CYP2C19*17,","None","None","None",""
"CYP2C19*2,","None","None","None",""
"CYP2C19*3,","None","None","None",""
"CYP2C19*4","None","None","None",""
"TNFSF14","8740","TNFSF14","TNF superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11930]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AHCY","191","AHCY","adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DHX9","1660","DHX9","DExH-box helicase 9 [Source:HGNC Symbol;Acc:HGNC:2750]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HLA-B*39:01:01:01","None","None","None",""
"UGGT2","55757","UGGT2","UDP-glucose glycoprotein glucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15664]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"THEM6","51337","THEM6","thioesterase superfamily member 6 [Source:HGNC Symbol;Acc:HGNC:29656]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MMP7","4316","MMP7","matrix metallopeptidase 7 [Source:HGNC Symbol;Acc:HGNC:7174]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NDUFAF2","91942","NDUFAF2","NADH:ubiquinone oxidoreductase complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:28086]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SREBF1","6720","SREBF1","sterol regulatory element binding transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11289]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GOLGA2","2801","GOLGA2","golgin A2 [Source:HGNC Symbol;Acc:HGNC:4425]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BDH1","622","BDH1","3-hydroxybutyrate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:1027]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"JARID2","3720","JARID2","jumonji and AT-rich interaction domain containing 2 [Source:HGNC Symbol;Acc:HGNC:6196]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRIM69","140691","TRIM69","tripartite motif containing 69 [Source:HGNC Symbol;Acc:HGNC:17857]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYBPC2","4606","MYBPC2","myosin binding protein C2 [Source:HGNC Symbol;Acc:HGNC:7550]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPS6KB1","6198","RPS6KB1","ribosomal protein S6 kinase B1 [Source:HGNC Symbol;Acc:HGNC:10436]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KLC3","147700","KLC3","kinesin light chain 3 [Source:HGNC Symbol;Acc:HGNC:20717]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LOX","4015","LOX","lysyl oxidase [Source:HGNC Symbol;Acc:HGNC:6664]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADCY6","112","ADCY6","adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MDN1","23195","MDN1","midasin AAA ATPase 1 [Source:HGNC Symbol;Acc:HGNC:18302]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DGCR8","54487","DGCR8","DGCR8 microprocessor complex subunit [Source:HGNC Symbol;Acc:HGNC:2847]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UNIPROTKB:P03495","None","None","None",""
"EDN2","1907","EDN2","endothelin 2 [Source:HGNC Symbol;Acc:HGNC:3177]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KSR2","283455","KSR2","kinase suppressor of ras 2 [Source:HGNC Symbol;Acc:HGNC:18610]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LY6G6D","110599563","LY6G6D","lymphocyte antigen 6 family member G6D [Source:HGNC Symbol;Acc:HGNC:13935]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LY6G6D","58530","LY6G6D","lymphocyte antigen 6 family member G6D [Source:HGNC Symbol;Acc:HGNC:13935]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACKR1","2532","ACKR1","atypical chemokine receptor 1 (Duffy blood group) [Source:HGNC Symbol;Acc:HGNC:4035]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EPB41L3","23136","EPB41L3","erythrocyte membrane protein band 4.1 like 3 [Source:HGNC Symbol;Acc:HGNC:3380]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDP1","54704","PDP1","pyruvate dehydrogenase phosphatase catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:9279]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMCHD1","23347","SMCHD1","structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29090]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTX2","10651","MTX2","metaxin 2 [Source:HGNC Symbol;Acc:HGNC:7506]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTMR4","9110","MTMR4","myotubularin related protein 4 [Source:HGNC Symbol;Acc:HGNC:7452]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FANCE","2178","FANCE","FA complementation group E [Source:HGNC Symbol;Acc:HGNC:3586]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NORETHISTERONE","None","None","None",""
"TRA2A","29896","TRA2A","transformer 2 alpha homolog [Source:HGNC Symbol;Acc:HGNC:16645]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HSPA1L","3305","HSPA1L","heat shock protein family A (Hsp70) member 1 like [Source:HGNC Symbol;Acc:HGNC:5234]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SH3RF2","153769","SH3RF2","SH3 domain containing ring finger 2 [Source:HGNC Symbol;Acc:HGNC:26299]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLEKHA5","54477","PLEKHA5","pleckstrin homology domain containing A5 [Source:HGNC Symbol;Acc:HGNC:30036]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NCLN","56926","NCLN","nicalin [Source:HGNC Symbol;Acc:HGNC:26923]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAD51C","5889","RAD51C","RAD51 paralog C [Source:HGNC Symbol;Acc:HGNC:9820]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BACE1","23621","BACE1","beta-secretase 1 [Source:HGNC Symbol;Acc:HGNC:933]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRCC3","79184","BRCC3","BRCA1/BRCA2-containing complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:24185]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GNAI2","2771","GNAI2","G protein subunit alpha i2 [Source:HGNC Symbol;Acc:HGNC:4385]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UBA52","7311","UBA52","ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPS3","6188","RPS3","ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HTR1D","3352","HTR1D","5-hydroxytryptamine receptor 1D [Source:HGNC Symbol;Acc:HGNC:5289]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATM","472","ATM","ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:PB/TQKZN/AHYV+UER1LOCR3AUTQ","None","None","None",""
"FZD8","8325","FZD8","frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LOC440292","None","None","None",""
"PYCARD","29108","PYCARD","PYD and CARD domain containing [Source:HGNC Symbol;Acc:HGNC:16608]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCR7","1236","CCR7","C-C motif chemokine receptor 7 [Source:HGNC Symbol;Acc:HGNC:1608]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HMG20A","10363","HMG20A","high mobility group 20A [Source:HGNC Symbol;Acc:HGNC:5001]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRIO","7204","TRIO","trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPTAN1","6709","SPTAN1","spectrin alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KMT2B","9757","KMT2B","lysine methyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:15840]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CMIP","80790","CMIP","c-Maf inducing protein [Source:HGNC Symbol;Acc:HGNC:24319]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AP5B1","91056","AP5B1","adaptor related protein complex 5 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:25104]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KANSL1","284058","KANSL1","KAT8 regulatory NSL complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24565]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNRPD2","6633","SNRPD2","small nuclear ribonucleoprotein D2 polypeptide [Source:HGNC Symbol;Acc:HGNC:11159]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FMNL3","91010","FMNL3","formin like 3 [Source:HGNC Symbol;Acc:HGNC:23698]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NODAL","4838","NODAL","nodal growth differentiation factor [Source:HGNC Symbol;Acc:HGNC:7865]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TPI1","7167","TPI1","triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTP4A1","7803","PTP4A1","protein tyrosine phosphatase 4A1 [Source:HGNC Symbol;Acc:HGNC:9634]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WDR81","124997","WDR81","WD repeat domain 81 [Source:HGNC Symbol;Acc:HGNC:26600]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OSTF1","26578","OSTF1","osteoclast stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:8510]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYO5A","4644","MYO5A","myosin VA [Source:HGNC Symbol;Acc:HGNC:7602]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FRMD6","122786","FRMD6","FERM domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19839]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IGKC","None","None","None",""
"APH1B","83464","APH1B","aph-1 homolog B, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:24080]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DHX36","170506","DHX36","DEAH-box helicase 36 [Source:HGNC Symbol;Acc:HGNC:14410]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMARCA1","6594","SMARCA1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 [Source:HGNC Symbol;Acc:HGNC:11097]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RNF24","11237","RNF24","ring finger protein 24 [Source:HGNC Symbol;Acc:HGNC:13779]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NREP","124906525","NREP","neuronal regeneration related protein [Source:HGNC Symbol;Acc:HGNC:16834]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NREP","9315","NREP","neuronal regeneration related protein [Source:HGNC Symbol;Acc:HGNC:16834]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMYD2","56950","SMYD2","SET and MYND domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20982]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ITGA9","3680","ITGA9","integrin subunit alpha 9 [Source:HGNC Symbol;Acc:HGNC:6145]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MCHR2","84539","MCHR2","melanin concentrating hormone receptor 2 [Source:HGNC Symbol;Acc:HGNC:20867]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAB35","11021","RAB35","RAB35, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9774]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SF3B3","23450","SF3B3","splicing factor 3b subunit 3 [Source:HGNC Symbol;Acc:HGNC:10770]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPL58","3396","MRPL58","mitochondrial ribosomal protein L58 [Source:HGNC Symbol;Acc:HGNC:5359]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NTSR2","23620","NTSR2","neurotensin receptor 2 [Source:HGNC Symbol;Acc:HGNC:8040]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDK8","1024","CDK8","cyclin dependent kinase 8 [Source:HGNC Symbol;Acc:HGNC:1779]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IFNAR1","3454","IFNAR1","interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NOL11","25926","NOL11","nucleolar protein 11 [Source:HGNC Symbol;Acc:HGNC:24557]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NSF","4905","NSF","N-ethylmaleimide sensitive factor, vesicle fusing ATPase [Source:HGNC Symbol;Acc:HGNC:8016]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSMC3","5702","PSMC3","proteasome 26S subunit, ATPase 3 [Source:HGNC Symbol;Acc:HGNC:9549]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAGOH","4116","MAGOH","mago homolog, exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:6815]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SEC23A","10484","SEC23A","SEC23 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10701]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYLPF","None","None","None",""
"NOS3","4846","NOS3","nitric oxide synthase 3 [Source:HGNC Symbol;Acc:HGNC:7876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:GPGRJ+JGMJ1R87RUDVGVW6WPZSG","None","None","None",""
"RPS4Y1","6192","RPS4Y1","ribosomal protein S4 Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:10425]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNX9","51429","SNX9","sorting nexin 9 [Source:HGNC Symbol;Acc:HGNC:14973]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HDAC6","10013","HDAC6","histone deacetylase 6 [Source:HGNC Symbol;Acc:HGNC:14064]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UNIPROTKB:P69713","None","None","None",""
"TUSC3","7991","TUSC3","tumor suppressor candidate 3 [Source:HGNC Symbol;Acc:HGNC:30242]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KHDRBS3","10656","KHDRBS3","KH RNA binding domain containing, signal transduction associated 3 [Source:HGNC Symbol;Acc:HGNC:18117]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RHOU","58480","RHOU","ras homolog family member U [Source:HGNC Symbol;Acc:HGNC:17794]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:M9FS/RH6UCPFT4C86DNF6DTJ8+0","None","None","None",""
"WTAP","9589","WTAP","WT1 associated protein [Source:HGNC Symbol;Acc:HGNC:16846]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PROKR1","10887","PROKR1","prokineticin receptor 1 [Source:HGNC Symbol;Acc:HGNC:4524]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMARCE1","6605","SMARCE1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 [Source:HGNC Symbol;Acc:HGNC:11109]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SULT1A2","6799","SULT1A2","sulfotransferase family 1A member 2 [Source:HGNC Symbol;Acc:HGNC:11454]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DERL1","79139","DERL1","derlin 1 [Source:HGNC Symbol;Acc:HGNC:28454]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DDX39B","7919","DDX39B","DExD-box helicase 39B [Source:HGNC Symbol;Acc:HGNC:13917]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NILOTINIB","None","None","None",""
"HSFY2","159119","HSFY2","heat shock transcription factor Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:23950]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"OR12D2","26529","OR12D2","olfactory receptor family 12 subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:8178]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MGRN1","23295","MGRN1","mahogunin ring finger 1 [Source:HGNC Symbol;Acc:HGNC:20254]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NOX3","50508","NOX3","NADPH oxidase 3 [Source:HGNC Symbol;Acc:HGNC:7890]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYB5A","1528","CYB5A","cytochrome b5 type A [Source:HGNC Symbol;Acc:HGNC:2570]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPL50","54534","MRPL50","mitochondrial ribosomal protein L50 [Source:HGNC Symbol;Acc:HGNC:16654]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADRB1","153","ADRB1","adrenoceptor beta 1 [Source:HGNC Symbol;Acc:HGNC:285]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"COMPLEX:/19SL1U5ANILVWBDYZ15T49N48M","None","None","None",""
"COL3A1","1281","COL3A1","collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TPTE2","93492","TPTE2","transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 [Source:HGNC Symbol;Acc:HGNC:17299]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPL55","128308","MRPL55","mitochondrial ribosomal protein L55 [Source:HGNC Symbol;Acc:HGNC:16686]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARAP1","116985","ARAP1","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16925]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR8K5","219453","OR8K5","olfactory receptor family 8 subfamily K member 5 [Source:HGNC Symbol;Acc:HGNC:15315]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RNF13","11342","RNF13","ring finger protein 13 [Source:HGNC Symbol;Acc:HGNC:10057]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TIMP2","7077","TIMP2","TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KLHL13","90293","KLHL13","kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM9B","56674","TMEM9B","TMEM9 domain family member B [Source:HGNC Symbol;Acc:HGNC:1168]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HIC1","3090","HIC1","HIC ZBTB transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:4909]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SRSF4","6429","SRSF4","serine and arginine rich splicing factor 4 [Source:HGNC Symbol;Acc:HGNC:10786]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSMD10","5716","PSMD10","proteasome 26S subunit, non-ATPase 10 [Source:HGNC Symbol;Acc:HGNC:9555]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RCBTB1","55213","RCBTB1","RCC1 and BTB domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:18243]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMP","1311","COMP","cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR52E2","119678","OR52E2","olfactory receptor family 52 subfamily E member 2 [Source:HGNC Symbol;Acc:HGNC:14769]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RASD1","51655","RASD1","ras related dexamethasone induced 1 [Source:HGNC Symbol;Acc:HGNC:15828]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR13H1","347468","OR13H1","olfactory receptor family 13 subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:14755]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LGR5","8549","LGR5","leucine rich repeat containing G protein-coupled receptor 5 [Source:HGNC Symbol;Acc:HGNC:4504]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NCALD","83988","NCALD","neurocalcin delta [Source:HGNC Symbol;Acc:HGNC:7655]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AR","367","AR","androgen receptor [Source:HGNC Symbol;Acc:HGNC:644]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DUSP14","11072","DUSP14","dual specificity phosphatase 14 [Source:HGNC Symbol;Acc:HGNC:17007]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SRSF3","6428","SRSF3","serine and arginine rich splicing factor 3 [Source:HGNC Symbol;Acc:HGNC:10785]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM71E2","None","None","None",""
"IGFBP1","3484","IGFBP1","insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCDC88C","440193","CCDC88C","coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KRT14","3861","KRT14","keratin 14 [Source:HGNC Symbol;Acc:HGNC:6416]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SSTR3","6753","SSTR3","somatostatin receptor 3 [Source:HGNC Symbol;Acc:HGNC:11332]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RNF123","63891","RNF123","ring finger protein 123 [Source:HGNC Symbol;Acc:HGNC:21148]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BAD","572","BAD","BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
